LCSC Part Number,Manufacture Part Number,Description,Order Qty
C522679,5.0SMDJ22A/TR13,SMDJ22A TVS diode - SMC package (D1),2
C2843670,EWH1EM472L25OT,4700uF 25V radial electrolytic - fits D16.0mm P7.50mm (C_MAIN1/2) - Min:5 Mult:5,5
C88743,35YXJ1000M12.5X20,1000uF 35V radial electrolytic - fits D12.5mm P5.00mm (C_ESC1-8) - Min:5 Mult:5,20
C29936,CL10B105KA8NNNC,1uF 25V X7R 0603 ceramic capacitor (C_HF1-8) - Min:10 Mult:10,20
C3040689,XT90PW-M.G.Y,AMASS XT90 male connector (J1/J19) - verify stock,4
C428722,XT60PW-F,AMASS XT60 female connector (J3-J10) - verify stock,16
C587649,436500201,Molex Micro-Fit 3.0 43650-0200 header 2-position 3mm (J11-J18),16
